institution	institution_url	repository_hosts	repo_urls	our_records	our_theses	docs_online	status	match_quality
Edgewood College				0	0	0	not-in-census	
Embry-Riddle Aeronautical University	https://erau.edu	commons.erau.edu;helios.db.erau.edu:8080	https://commons.erau.edu/;https://helios.db.erau.edu:8080/	21855	2	0	in-census	unambiguous
Empire State College				0	0	0	not-in-census	
ESSEC Business School				0	0	0	not-in-census	
Fielding Graduate University				0	0	0	not-in-census	
Five Towns College				0	0	0	not-in-census	
Florida Agricultural and Mechanical University				0	0	0	not-in-census	
Florida Gulf Coast University				0	0	0	not-in-census	
Florida International University				0	0	0	not-in-census	
Florida State University				0	0	0	not-in-census	
Fordham University	https://fordham.edu	ir.lawnet.fordham.edu;research.library.fordham.edu;fordham.bepress.com	https://ir.lawnet.fordham.edu/;https://research.library.fordham.edu/;https://fordham.bepress.com/	52657	124	0	in-census	unambiguous
Franklin Pierce University				0	0	0	not-in-census	
Fuller Theological Seminary Doctor of Missiology	https://asburyseminary.edu	place.asburyseminary.edu;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Fuller Theological Seminary, Center for Advanced	https://asburyseminary.edu	place.asburyseminary.edu;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Theological Studies				0	0	0	not-in-census	
Fuller Theological Seminary, School of Intercultural Studies	https://asburyseminary.edu	place.asburyseminary.edu;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Fuller Theological Seminary, School of Psychology	https://asburyseminary.edu	place.asburyseminary.edu;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Gachon University				0	0	0	not-in-census	
Gannon University				0	0	0	not-in-census	
Gardner-Webb University	https://gardner-webb.edu	digitalcommons.gardner-webb.edu	https://digitalcommons.gardner-webb.edu/	10137	15	0	in-census	unambiguous
Garrett-Evangelical Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
George Mason University	https://gmu.edu	digilib.gmu.edu:8080	https://digilib.gmu.edu:8080/	0	0	0	in-census	unambiguous
Georgetown University-Graduate School of Arts & Sciences				0	0	0	not-in-census	
Georgia State University, Andrew Young School				0	0	0	not-in-census	
Georgia State University, College of Arts and Sciences				0	0	0	not-in-census	
Georgia State University, Robinson College of Business				0	0	0	not-in-census	
Gonzaga University	https://gonzaga.edu	repository.gonzaga.edu;repositorio.unica.edu.pe	https://repository.gonzaga.edu/;https://repositorio.unica.edu.pe/	8053	422	0	in-census	unambiguous
Gonzaga University, Arts and Sciences and TESOL				0	0	0	not-in-census	
Grambling State University				0	0	0	not-in-census	
Grand Canyon University				0	0	0	not-in-census	
Hampton University				0	0	0	not-in-census	
Harding University	https://harding.edu	scholarworks.harding.edu	https://scholarworks.harding.edu/	49564	58	0	in-census	unambiguous
Harvard Business School				0	0	0	not-in-census	
Harvard Divinity School				0	0	0	not-in-census	
Harvard University	https://harvard.edu	dash.harvard.edu;hcs.harvard.edu;web.hks.harvard.edu;dvn.iq.harvard.edu	https://dash.harvard.edu/;https://hcs.harvard.edu/;https://web.hks.harvard.edu/;https://dvn.iq.harvard.edu/	73601	2206	0	in-census	unambiguous
Harvard University, Extension School: Master of Liberal				0	0	0	not-in-census	
Arts in Ext. Studies (ALM)				0	0	0	not-in-census	
Hawai'i Pacific University				0	0	0	not-in-census	
Hebrew Union College - Jewish Institute of Religion				0	0	0	not-in-census	
Hofstra University	https://hofstra.edu	academicworks.medicine.hofstra.edu;scholarlycommons.law.hofstra.edu;hofprints.hofstra.edu	https://academicworks.medicine.hofstra.edu/;https://scholarlycommons.law.hofstra.edu/;https://hofprints.hofstra.edu/	16538	23	0	in-census	unambiguous
Howard University	https://howard.edu	dh.howard.edu	https://dh.howard.edu/	26368	0	0	in-census	unambiguous
Icahn School of Medicine at Mount Sinai				0	0	0	not-in-census	
Illinois State University				0	0	0	not-in-census	
Indian Institute of Technology, Kharagpur				0	0	0	not-in-census	
Indiana State University School of Graduate Studies				0	0	0	not-in-census	
Indiana University				0	0	0	not-in-census	
Indiana University Bloomington, School of Education				0	0	0	not-in-census	
Indiana University Jacobs School of Music				0	0	0	not-in-census	
Indiana University of Pennsylvania	https://iup.edu	dspace.iup.edu;dspace.lib.iup.edu:8080;knowledge.library.iup.edu	https://dspace.iup.edu/;https://dspace.lib.iup.edu:8080/;https://knowledge.library.iup.edu/	0	0	0	in-census	unambiguous
Indiana Wesleyan University				0	0	0	not-in-census	
INSEAD France/Singapore				0	0	0	not-in-census	
Institute for Clinical Social Work (Chicago)				0	0	0	not-in-census	
International Baptist Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
International Marian Research Institute				0	0	0	not-in-census	
International School of Management				0	0	0	not-in-census	
Iowa State University	https://nwciowa.edu	nwcommons.nwciowa.edu;scholarworks.uni.edu;lib.dr.iastate.edu;publications.iowa.gov	https://nwcommons.nwciowa.edu/;https://scholarworks.uni.edu/;https://lib.dr.iastate.edu/;https://publications.iowa.gov/	174279	39484	0	in-census	ambiguous
Irell & Manella Graduate School of Biological Sciences				0	0	0	not-in-census	
James Madison University	https://jmu.edu	commons.lib.jmu.edu	https://commons.lib.jmu.edu/	22818	113	0	in-census	unambiguous
Jewish Theological Seminary of America	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
John F. Kennedy University				0	0	0	not-in-census	
Johnson & Wales University	https://jwu.edu	scholarsarchive.jwu.edu	https://scholarsarchive.jwu.edu/	5010	6	0	in-census	unambiguous
Jones International University				0	0	0	not-in-census	
Kansas State University				0	0	0	not-in-census	
Kaplan University				0	0	0	not-in-census	
Kean University	https://kean.edu	digitalcommons.kean.edu	https://digitalcommons.kean.edu/	8064	0	0	in-census	unambiguous
Keiser University				0	0	0	not-in-census	
King Fahd University of Petroleum & Minerals	https://kfupm.edu.sa	eprints.kfupm.edu.sa	https://eprints.kfupm.edu.sa/	0	0	0	in-census	unambiguous
Kutztown University	https://kutztown.edu	research.library.kutztown.edu	https://research.library.kutztown.edu/	9059	1	0	in-census	unambiguous
Lakehead University				0	0	0	not-in-census	
Lamar University				0	0	0	not-in-census	
Lancaster Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu;dspace.lancasterseminary.edu;ir.taitheo.org.tw:8080;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://dspace.lancasterseminary.edu/;https://ir.taitheo.org.tw:8080/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Lawrence Technological University				0	0	0	not-in-census	
Lehigh University	https://lvhn.org	scholarlyworks.lvhn.org;preserve.lehigh.edu	https://scholarlyworks.lvhn.org/;https://preserve.lehigh.edu/	121062	11428	0	in-census	unambiguous
Lesley University	https://lesley.edu	digitalcommons.lesley.edu;ir.flo.org	https://digitalcommons.lesley.edu/;https://ir.flo.org/	2760	0	0	in-census	unambiguous
Lewis & Clark College-Graduate School of Education	https://democracyeducationjournal.org	democracyeducationjournal.org;lawcommons.lclark.edu	https://democracyeducationjournal.org/;https://lawcommons.lclark.edu/	2190	0	0	in-census	ambiguous
Lewis University	https://democracyeducationjournal.org	democracyeducationjournal.org;digitalcommons.lewisu.edu;lawcommons.lclark.edu;digitalcommons.fortlewis.edu	https://democracyeducationjournal.org/;https://digitalcommons.lewisu.edu/;https://lawcommons.lclark.edu/;https://digitalcommons.fortlewis.edu/	2522	0	0	in-census	ambiguous
Liberty University	https://liberty.edu	digitalcommons.liberty.edu	https://digitalcommons.liberty.edu/	23497	10	0	in-census	unambiguous
Lincoln Memorial University	https://lmunet.edu	digitalcommons.lmunet.edu	https://digitalcommons.lmunet.edu/	3463	2	0	in-census	unambiguous
Lindenwood University	https://lindenwood.edu	digitalcommons.lindenwood.edu	https://digitalcommons.lindenwood.edu/	20076	798	0	in-census	unambiguous
Lipscomb University	https://lipscomb.edu	digitalcollections.lipscomb.edu	https://digitalcollections.lipscomb.edu/	1438	2	0	in-census	unambiguous
Loma Linda University	https://llu.edu	scholarsrepository.llu.edu	https://scholarsrepository.llu.edu/	4898	440	0	in-census	ambiguous
Loma Linda University, School of Public Health	https://llu.edu	scholarsrepository.llu.edu	https://scholarsrepository.llu.edu/	4898	440	0	in-census	ambiguous
Long Island University	https://liu.edu	digitalcommons.liu.edu	https://digitalcommons.liu.edu/	1579	3	0	in-census	unambiguous
Loyola Marymount University	https://lmu.edu	digitalcommons.lmu.edu	https://digitalcommons.lmu.edu/	18424	7	0	in-census	unambiguous
Loyola University Chicago School of Education				0	0	0	not-in-census	
Loyola University of Chicago Graduate School				0	0	0	not-in-census	
Lutheran School of Theology at Chicago				0	0	0	not-in-census	
Maharishi University of Management				0	0	0	not-in-census	
Manhattanville College				0	0	0	not-in-census	
Marian University	https://marian.edu	mushare.marian.edu	https://mushare.marian.edu/	0	0	0	in-census	unambiguous
Marquette University	https://marquette.edu	epublications.marquette.edu;scholarship.law.marquette.edu	https://epublications.marquette.edu/;https://scholarship.law.marquette.edu/	53087	2214	0	in-census	unambiguous
Marshall University	https://marshall.edu	mds.marshall.edu;marshallfoundation.org;trs.nis.nasa.gov	https://mds.marshall.edu/;https://marshallfoundation.org/;https://trs.nis.nasa.gov/	38351	2110	0	in-census	unambiguous
Massachusetts School of Professional Psychology				0	0	0	not-in-census	
McNeese State University Graduate Studies				0	0	0	not-in-census	
MGH Institute of Health Professions				0	0	0	not-in-census	
Michigan School of Professional Psychology				0	0	0	not-in-census	
Michigan State University				0	0	0	not-in-census	
Michigan Technological University				0	0	0	not-in-census	
Middle Tennessee State University	https://mtsu.edu	jewlscholar.mtsu.edu	https://jewlscholar.mtsu.edu/	8057	3090	0	in-census	unambiguous
Mills College				0	0	0	not-in-census	
Minnesota State University, Mankato	https://mnsu.edu	cornerstone.lib.mnsu.edu	https://cornerstone.lib.mnsu.edu/	34976	4	0	in-census	unambiguous
Mississippi State University				0	0	0	not-in-census	
Missouri Baptist University				0	0	0	not-in-census	
Missouri University of Science and Technology	https://mst.edu	scholarsmine.mst.edu	https://scholarsmine.mst.edu/	71125	359	0	in-census	unambiguous
Molloy College	https://molloy.edu	digitalcommons.molloy.edu	https://digitalcommons.molloy.edu/	2377	1	0	in-census	unambiguous
Montana State University, The Graduate School	https://mtech.edu	digitalcommons.mtech.edu;scholarworks.umt.edu;scholarship.law.umt.edu	https://digitalcommons.mtech.edu/;https://scholarworks.umt.edu/;https://scholarship.law.umt.edu/	118792	13161	0	in-census	ambiguous
Montana Tech of the University of Montana	https://mtech.edu	digitalcommons.mtech.edu	https://digitalcommons.mtech.edu/	5247	538	0	in-census	ambiguous
Montclair State University, The Graduate School	https://montclair.edu	digitalcommons.montclair.edu	https://digitalcommons.montclair.edu/	16214	10	0	in-census	unambiguous
Montreat College				0	0	0	not-in-census	
Morehead State University	https://moreheadstate.edu	scholarworks.moreheadstate.edu	https://scholarworks.moreheadstate.edu/	51964	977	0	in-census	unambiguous
Morgan State University, School of Graduate Studies				0	0	0	not-in-census	
Mountain State University	https://imde.ac.cn	ir.imde.ac.cn;mtnforum.org	https://ir.imde.ac.cn/;https://mtnforum.org/	100	0	0	in-census	unambiguous
Multimedia University				0	0	0	not-in-census	
Murray State University	https://murraystate.edu	digitalcommons.murraystate.edu	https://digitalcommons.murraystate.edu/	56078	7	0	in-census	unambiguous
National-Louis University				0	0	0	not-in-census	
New England Conservatory	https://wne.edu	digitalcommons.wne.edu;dune.une.edu;rune.edu.edu.au;digitalcommons.law.wne.edu	https://digitalcommons.wne.edu/;https://dune.une.edu/;https://rune.edu.edu.au/;https://digitalcommons.law.wne.edu/	54944	2725	0	in-census	ambiguous
New York Medical College				0	0	0	not-in-census	
New York University, Department of Music and Performing Arts				0	0	0	not-in-census	
New York University, Graduate School of Arts & Science				0	0	0	not-in-census	
New York University, Silver School of Social Work				0	0	0	not-in-census	
New York University, Steinhardt Office of Graduate Studies				0	0	0	not-in-census	
New York University, Wagner Graduate School of Public Services	https://bjpa.org	bjpa.org	https://bjpa.org/	0	0	0	in-census	unambiguous
Niagara University				0	0	0	not-in-census	
Nipissing University				0	0	0	not-in-census	
North Carolina A&T State University				0	0	0	not-in-census	
